PAHs,Site,Year,Sample_Type,Naphthalene_d8,Acenaphthene_d10,Phenanthrene_d10,Fluoranthene_d10,Chrysene_d12,Benzo_a_Pyrene_d12,"Benzo(g,h,i)perylene-d12"
MEPH 1N,MEPH,2000,N,31,42,85,108,108,107,
MEPH 2N,MEPH,2000,N,20,27,60,92,98,97,
MEPH 3N,MEPH,2000,N,51,69,82,93,92,90,
MEPH 4N,MEPH,2000,N,56,67,89,104,102,99,
MEPR 1N,MEPR,2000,N,55,85,92,97,94,90,
MEPR 2N,MEPR,2000,N,60,80,91,98,100,91,
MEPR 2N,MEPR,2000,N,49,79,91,101,101,94,
MEPR 3N,MEPR,2000,N,55,81,94,103,102,97,
MEPR 4N,MEPR,2000,N,53,76,93,98,98,93,
MERY1N,MERY,1993,N,30,41,,,92,87,94
MERY2N,MERY,1993,N,46,69,,,90,84,79
MERY3N,MERY,1993,N,46,66,,,94,85,79
MEPR1,MEPR,1994,,38,50,84,99,95,100,89
MEPR2,MEPR,1994,,50,58,78,97,97,102,87
MEPR3,MEPR,1994,,32,60,81,93,79,56,85
MEPR4,MEPR,1994,,42,48,58,75,72,78,64
MEPH1,MEPH,1994,,67,90,94,135,108,131,98
MEPH2,MEPH,1994,,39,59,83,99,99,95,90
MEPH3,MEPH,1994,,65,79,97,114,113,122,93
MEPH4,MEPH,1994,,41,60,77,89,85,91,80
95MEBC1,MEBC,1995,P,31,67,92,109,100,99,91
95MEBC2,MEBC,1995,P,40,60,92,110,99,95,91
95MEBC3,MEBC,1995,P,35,61,98,114,105,108,97
95MEBC4,MEBC,1995,,30,60,89,102,94,94,82
95MEBC4_Replicate,MEBC,1995,,42,72,98,117,111,105,92
MERY 1,MERY,1999,,66,82,125,96,180,78,88
MERY 2,MERY,1999,,54,78,94,93,103,75,88
MERY 3,MERY,1999,,56,75,88,86,93,65,80
MERY 4,MERY,1999,,60,78,93,91,104,80,84
MERY 4 duplicate,MERY,1999,,51,77,90,92,97,78,83
