Code,Site,Year,Type,HCB,g_HCH,Heptachlor,Aldrin,Heptachlor Epoxide,op_DDE,a_Endosulfan,cis_Chlordane,Transnonachlor,pp_DDE,Dieldrin,op_DDD,b_Endosulfan,pp_DDD,op_DDT,pp_DDT,Mirex,Total,Surrogate
MERY1N,MERY,1993,N,<2,<2,<2,<2,<2,<2,<2,<2,<2,7,<2,<2,<2,7.3,<2,<2,<2,14,90
MERY2N,MERY,1993,N,<2,<2,<2,<2,<2,<2,<2,<2,<2,2.2,<2,<2,<2,<2,<2,<2,<2,2.2,90
MERY3N,MERY,1993,N,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,ND,93
MEPR1N,MEPR,1994,N,<2,3.3,<2,<2,<2,<2,<2,<2,<2,5.7,<2,2.5,<2,5,<2,<2,<2,17,68
MEPR2N,MEPR,1994,N,<2,3.1,<2,<2,<2,<2,<2,<2,<2,7,2.2,4,<2,6,<2,<2,<2,22,72
MEPR3N,MEPR,1994,N,<2,3.4,<2,<2,<2,<2,<2,2,<2,7.2,2.3,3.4,<2,5.7,<2,<2,<2,24,76
MEPR4N,MEPR,1994,N,<2,<2,<2,<2,<2,<2,<2,<2,<2,6.1,2,2.8,<2,4.6,<2,<2,<2,16,58
MEPH1N,MEPH,1994,N,<2,2.3,<2,<2,<2,<2,<2,2.1,2.8,10,4.9,4.8,<2,12,<2,<2,<2,39,74
MEPH2N,MEPH,1994,N,<2,3,<2,<2,<2,<2,<2,2.1,2.4,9.7,5.1,4.5,<2,9.2,<2,2.7,<2,39,60
MEPH3N,MEPH,1994,N,<2,2.7,<2,<2,<2,<2,<2,2.2,2,10,5,5.1,<2,11,<2,2.7,<2,40,69
MEPH4N,MEPH,1994,N,<2,2.8,<2,<2,<2,<2,<2,2.5,<2,4.7,4.1,2.6,<2,8.4,<2,<2,<2,25,49
MEBC1P,MEBC,1995,,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.7,<2,3,<2,<2,<2,<2,<2,6.7,88
MEBC2P,MEBC,1995,,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.4,<2,2.5,<2,<2,<2,<2,<2,5.9,71
MEBC3P,MEBC,1995,,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.9,<2,3,<2,<2,<2,<2,<2,6.9,81
MEBC4P,MEBC,1995,,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.8,<2,3.2,<2,<2,<2,<2,<2,7.0,96
MEBC4P Duplicate,MEBC,1995,,<2,<2,<2,<2,<2,<2,<2,<2,<2,5.4,<2,2.7,<2,<2,<2,<2,<2,8.1,76
MERY 1,MERY,1999,,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,<1,<1,7.8,<1.2,<1,<2,<1.5,<1.2,<1,<1.5,7.8,105
MERY 2,MERY,1999,,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,<1,<1,3.8,<1.2,<1,<2,<1.5,<1.2,<1,<1.5,3.8,104
MERY 3,MERY,1999,,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,<1,<1,6.1,<1.2,<1,<2,<1.5,<1.2,<1,<1.5,6.1,100
MERY 4,MERY,1999,,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,<1,<1,7.6,<1.2,<1,<2,<1.5,<1.2,<1,<1.5,7.6,116
MERY 4 Duplicate,MERY,1999,,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,<1,<1,6.1,<1.2,<1,<2,<1.5,<1.2,<1,<1.5,6.1,114
MEPH-1N,MEPH,2000,N,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,3.2,2.5,6.5,<1.2,<1,<2,13.9,3.6,22.7,<1.5,52,
MEPH 2N,MEPH,2000,N,<1.2,<1.2,<1,<1.5,1.7,<1.2,<1.2,3.5,<1,2,9.6,1.4,<2,13.8,<2,<1,<1.5,32,
MEPH 3N,MEPH,2000,N,<1.2,<1.2,<1,<1.5,<1.2,<1.2,1.6,3.5,<1,2.2,8.8,1.8,<2,13.7,<2,<1,<1.5,32,
MEPH 4N,MEPH,2000,N,<1.2,<1.2,<1,<1.5,1.5,<1.2,<1.2,3.3,<1,2,9.3,1.8,2.3,13.6,<2,<1,<1.5,34,
MEPR-1N,MEPR,2000,N,<1.2,<1,<1.5,<1.2,<1.2,<1.2,2.8,2.3,10.9,1.9,3.7,<2,13.7,<2,<1,<1.5,,35,
MEPR 2N,MEPR,2000,N,<1.2,<1.2,<1,<1.5,1.6,2,<1.2,3.8,<1,3,9.6,3.3,<2,12,<2,<1,<1.5,35,
MEPR 2N,MEPR,2000,N,<1.2,<1.2,<1,<1.5,1.6,<1.2,<1.2,4.7,<1,2.5,9,2.6,<2,10.8,<2,2.1,<1.5,33,
MEPR-3N,MEPR,2000,N,<1.2,<1.2,<1,<1.5,<1.2,<1.2,<1.2,2.7,1.9,9.7,1.8,3.3,<2,11.6,<2,<1,<1.5,31,
MEPR-4N,MEPR,2000,N,<1.2,<1.2,<1,<1.5,<1.2,<1,<1.2,3.7,1.5,10.8,2.3,2.1,<2,2.5,<2,<1,<1.5,23,
